listing_id,price_text,price_chf,badge,rooms,living_m2,address,image_url,raw_text_snippet
3001941475,,,1 / 13,6.5,153,"Av. de Chamonix 3BIS, 1207 Genève",https://media2.homegate.ch/f_auto/t_listing_card_1092x762/listings/v2/hgonif/3001941475/image/8f73a6e8b743da2b79c0a9e4309a98f4.jpg,"1 / 13
Price on requestPremium
6.5 rooms
Av. de Chamonix 3BIS, 1207 Genève
LA LAC TOWER : nouvelle promotion immobilière de 18 appartements à vendre au Eaux-Vives
Au cœur du quartier des Eaux-Vives, nouvelle promotion immobilière de 18 appartements à vendre alliant confort, technologie, mobilité, qualité de vie et luxe. Livraison prévue pour la fin de l’année.Attention pour info dans cette nouvell"
4002624585,"CHF 216,000.–",216000.0,1 / 7,216.0,850,"CHF 216,000.– Premium",https://media2.homegate.ch/f_auto/t_listing_card_1092x762/listings/v2/hgonif/4002624585/image/9459ecf246eeb0e28a8d595cfc996484.png,"1 / 7
CHF 216,000.– Premium
850m² living space
Chemin de Pierrefleur 74, 1004 Lausanne
Complexe d'activités économiques, 5 niveaux, 5 logements, 9 locaux d'activités, places de parc
Vente aux enchères publiques - FERME DU DÉSERT - DROIT DISTINCT ET PERMANENT à LausanneCe bien immobilier sera vendu aux enchères publiques par l'Office des faillites de l'arrondissement de Lausanne le jeudi 27 novembr"
4002563923,"CHF 6,480,000.–",6480000.0,1 / 15,21.0,520,"CHF 6,480,000.– Premium",https://media2.homegate.ch/f_auto/t_listing_card_1092x762/listings/v2/hgonif/4002563923/image/06d0ac4690b9cc0fd0d0a3f69d95c120.jpg,"1 / 15
CHF 6,480,000.– Premium
21 rooms520m² living space
Feldstrasse 45, 8004 Zürich
Mehrfamilienhaus mit 6 Wohnungen in der Stadt Zürich zu verkaufen
Zweiseitig angebautes Mehrfamilienhaus mit 6 Wohnungen in der Stadt Zürich zu verkaufenKaufpreis ab CHF 4'500'00.00 (an den Meistbietenden)Das Mehrfamilienhaus befindet sich an zentraler Lage mit guter Infrastruktur in der Umgebung an der Feldstras"
4002558048,"CHF 3,312,000.–",3312000.0,1 / 12,5.0,190,"CHF 3,312,000.– Premium",https://media2.homegate.ch/f_auto/t_listing_card_1092x762/listings/v2/is24nif/4002558048/image/b7c0ea76b57f9538cddd0034b93d2f9d.jpg,"1 / 12
CHF 3,312,000.– Premium
5 rooms190m² living space
Chemin de la Gradelle 16, 1200 Genève
Magnifique appartement de 5 pièces avec vue panoramique
À La Gradelle, à moins de dix minutes du centre de Genève, cet appartement traversant de 190,5 m² se situe au huitième étage d’une résidence calme et verdoyante. Récemment rénové, il offre de beaux volumes et une luminosité agréable. Le séjour s’ouv"
4002276051,"CHF 2,404,800.–",2404800.0,1 / 6,4.5,114,"CHF 2,404,800.– Premium",https://media2.homegate.ch/f_auto/t_listing_card_1092x762/listings/v2/h347961/4002276051/image/3a5326a7c80e6bd2272a0f09221b517f.jpg,"New building
1 / 6
CHF 2,404,800.– Premium
4.5 rooms114m² living space
Limmattalstrasse 281, 8049 Zürich
Attikawohnung mit zwei Terrassen - Ihr neues Zuhause in Zürich-Höngg
Diese exklusive 4.5-Zimmer-Attikawohnung im nachhaltigen Neubauprojekt Limmattalstrasse 281 in Zürich Höngg vereint stilvolles Wohnen mit zukunftsorientierter Architektur. Mit 114.4 m² Wohnfläche und zwei sonnigen Terrassen (2"
4002653043,"CHF 5,587,200.–",5587200.0,1 / 9,7.5,280,"CHF 5,587,200.– Premium",https://media2.homegate.ch/f_auto/t_listing_card_1092x762/listings/v2/h263117/4002653043/image/38fb68d5dfd33606719f99bb86c72d38.jpg,"New building
1 / 9
CHF 5,587,200.– Premium
7.5 rooms280m² living space
Geeringstrasse 68, 8049 Zürich
Komfortable 7.5-Zimmer-Wohnung mit einzigartiger Aussicht und grosszügigem Aussenbereich
Erleben Sie urbanes Wohnen in einer ruhigen und naturnahen Umgebung und geniessen Sie gleichzeitig die hervorragende Anbindung in die City. Dank der idealen Lage sind Sie mit den öffentlichen Verkehrsmitteln z"
4002275996,"CHF 2,635,200.–",2635200.0,1 / 5,5.5,149,"CHF 2,635,200.– Premium",https://media2.homegate.ch/f_auto/t_listing_card_1092x762/listings/v2/h347961/4002275996/image/259fec548a92c26bafe6889835f8f083.jpg,"New building
1 / 5
CHF 2,635,200.– Premium
5.5 rooms149m² living space
Limmattalstrasse 281, 8049 Zürich
Moderne 5.5-Zimmer-Neubauwohnung mit traumhafter Küche und Loggia – im Herzen von Zürich
Diese hochwertige 5.5-Zimmer-Wohnung im Herzen von Zürich verbindet urbanen Komfort mit durchdachter Raumaufteilung und nachhaltiger Bauweise. Ein besonderes Highlight ist die separate, rundum verglaste Küc"
4002275550,"CHF 2,592,000.–",2592000.0,1 / 5,5.5,149,"CHF 2,592,000.– Premium",https://media2.homegate.ch/f_auto/t_listing_card_1092x762/listings/v2/h347961/4002275550/image/26c5ce1de6eecb1dcffcff0bc4e0ca76.jpg,"New building
1 / 5
CHF 2,592,000.– Premium
5.5 rooms149m² living space
Limmattalstrasse 281, 8049 Zürich
Moderne 5.5-Zimmer-Neubauwohnung mit traumhafter Küche und Loggia – im Herzen von Zürich
Diese hochwertige 5.5-Zimmer-Wohnung im Herzen von Zürich verbindet urbanen Komfort mit durchdachter Raumaufteilung und nachhaltiger Bauweise. Ein besonderes Highlight ist die separate, rundum verglaste Küc"
4001755176,"CHF 3,384,000.–",3384000.0,1 / 11,6.5,220,"CHF 3,384,000.– Premium",https://media2.homegate.ch/f_auto/t_listing_card_1092x762/listings/v2/a016b/4001755176/image/11c420caa43f5e6453e93f8803ecd56b.jpg,"New building
1 / 11
CHF 3,384,000.– Premium
6.5 rooms220m² living space
Avenue de Beaumont 76, 1010 Lausanne
Appartement neuf de 6.5 pièces, attique avec vue dégagée
SPG a le plaisir de vous présenter en exclusivité ce superbe attique neuf de 6.5 pièces. Il offre une surface PPE de 220.4 m² avec une spacieuse terrasse de 73.5 m². Découvrez la promotion d'appartements de 3.5 à 5.5 pièces ""BEAUMONT"""
4001755174,"CHF 2,505,600.–",2505600.0,1 / 12,6.5,180,"CHF 2,505,600.– Premium",https://media2.homegate.ch/f_auto/t_listing_card_1092x762/listings/v2/a016b/4001755174/image/4819d33fe8ac79a4629ba63fc00289be.jpg,"New building
1 / 12
CHF 2,505,600.– Premium
6.5 rooms180m² living space
Avenue de Beaumont 76, 1010 Lausanne
Appartement neuf de 6.5 pièces au 3ème étage
Découvrez la promotion BEAUMONT https://beaumont-lausanne.ch/ et réalisez votre rêve d'acquérir un appartement neuf de grande qualité architecturale et énergétique, idéalement situé dans un quartier connecté, agréable et paisible. SPG a le plaisi"
